รหัสเขต,ชื่อเขต,รหัสโรงเรียน,ชื่อโรงเรียน,อ.1 ชาย,อ.1 หญิง,รวมอ.1,อ.1 ห้อง,อ.2 ชาย,อ.2 หญิง,รวมอ.2,อ.2 ห้อง,อ.3 ชาย,อ.3 หญิง,รวมอ.3,อ.3 ห้อง,รวมก่อนประถม ชาย,รวมก่อนประถม หญิง,รวมก่อนประถม,รวมห้องก่อนประถม,ป.1 ชาย,ป.1 หญิง,รวมป.1,ป.1 ห้อง,ป.2 ชาย,ป.2 หญิง,รวมป.2,ป.2 ห้อง,ป.3 ชาย,ป.3 หญิง,รวมป.3,ป.3 ห้อง,ป.4 ชาย,ป.4 หญิง,รวมป.4,ป.4 ห้อง,ป.5 ชาย,ป.5 หญิง,รวมป.5,ป.5 ห้อง,ป.6 ชาย,ป.6 หญิง,รวมป.6,ป.6 ห้อง,รวมประถม ชาย,รวมประถม หญิง,รวมประถม,รวมห้องประถม,ม.1 ชาย,ม.1 หญิง,รวมม.1,ม.1 ห้อง,ม.2 ชาย,ม.2 หญิง,รวมม.2,ม.2 ห้อง,ม.3 ชาย,ม.3 หญิง,รวมม.3,ม.3 ห้อง,รวมม.ต้น ชาย,รวมม.ต้น หญิง,รวมม.ต้น,รวมห้องม.ต้น,ม.4 ชาย,ม.4 หญิง,รวมม.4,ม.4 ห้อง,ม.5 ชาย,ม.5 หญิง,รวมม.5,ม.5 ห้อง,ม.6 ชาย,ม.6 หญิง,รวมม.6,ม.6 ห้อง,ปวช.1 ชาย,ปวช.1 หญิง,รวมปวช.1,ปวช.1 ห้อง,ปวช.2 ชาย,ปวช.2 หญิง,รวมปวช.2,ปวช.2 ห้อง,ปวช.3 ชาย,ปวช.3 หญิง,รวมปวช.3,ปวช.3 ห้อง,รวมม.ปลายและเทียบเท่า ชาย,รวมม.ปลายและเทียบเท่า หญิง,รวมม.ปลายและเทียบเท่า,รวมห้องม.ปลายและเทียบเท่า,รวมทั้งหมด ชาย,รวมทั้งหมด หญิง,รวมทั้งหมด,รวมห้องทั้งหมด
00470001,สพม.สกลนคร,47032003,กุดเรือคำพิทยาคาร,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,32,65,2,39,65,104,4,61,50,111,4,133,147,280,10,17,36,53,2,24,39,63,2,29,40,69,2,0,0,0,0,0,0,0,0,0,0,0,0,70,115,185,6,203,262,465,16
00470001,สพม.สกลนคร,47032004,ศึกษาประชาสามัคคี,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,32,75,3,47,51,98,3,46,37,83,3,136,120,256,9,30,21,51,2,11,34,45,2,31,26,57,2,0,0,0,0,0,0,0,0,0,0,0,0,72,81,153,6,208,201,409,15
00470001,สพม.สกลนคร,47032007,หนองแวงวิทยา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,36,2,26,20,46,2,21,28,49,1,64,67,131,5,6,14,20,1,15,12,27,1,16,18,34,1,0,0,0,0,0,0,0,0,0,0,0,0,37,44,81,3,101,111,212,8
00470001,สพม.สกลนคร,47032009,บ้านม่วงพิทยาคม,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,179,326,10,177,205,382,10,150,201,351,10,474,585,1059,30,123,192,315,9,120,191,311,10,134,183,317,9,0,0,0,0,0,0,0,0,0,0,0,0,377,566,943,28,851,1151,2002,58
00470001,สพม.สกลนคร,47032010,พระเทพญาณวิศิษฏ์โพธิ์ชัยทองวิทย์,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,34,2,13,21,34,2,21,15,36,2,49,55,104,6,5,10,15,1,12,15,27,1,3,17,20,1,0,0,0,0,0,0,0,0,0,0,0,0,20,42,62,3,69,97,166,9
00470001,สพม.สกลนคร,47032012,อากาศอำนวยศึกษา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,196,354,10,198,211,409,11,136,175,311,11,492,582,1074,32,138,207,345,10,120,240,360,10,129,184,313,10,0,0,0,0,0,0,0,0,0,0,0,0,387,631,1018,30,879,1213,2092,62
00470001,สพม.สกลนคร,47032013,โพนงามศึกษา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,114,220,7,108,116,224,6,104,121,225,6,318,351,669,19,80,95,175,6,78,84,162,5,47,74,121,4,0,0,0,0,0,0,0,0,0,0,0,0,205,253,458,15,523,604,1127,34
00470001,สพม.สกลนคร,47032014,ท่าสงครามวิทยา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,28,1,20,18,38,2,20,20,40,2,55,51,106,5,6,11,17,1,5,9,14,1,5,6,11,1,0,0,0,0,0,0,0,0,0,0,0,0,16,26,42,3,71,77,148,8
00470001,สพม.สกลนคร,47032015,เจริญศิลป์ศึกษา(โพธิ์คำอนุสรณ์),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,59,112,5,74,89,163,5,86,95,181,5,213,243,456,15,29,44,73,5,34,44,78,5,30,41,71,5,0,0,0,0,0,0,0,0,0,0,0,0,93,129,222,15,306,372,678,30
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3647,3968,7615,237,3948,4397,8345,247,3790,4378,8168,241,11385,12743,24128,725,2877,4187,7064,226,2730,4127,6857,224,2655,4114,6769,221,0,0,0,0,0,0,0,0,0,0,0,0,8262,12428,20690,671,19647,25171,44818,1396
